,unacast_session_count
42717,302.0
44319,796.0
13125,310.0
21024,472.0
10763,1194.0
48586,460.0
33838,353.0
40182,950.0
16068,354.0
38484,302.0
48224,726.0
4047,642.0
2347,374.0
22128,487.0
48587,771.0
27121,529.0
13681,393.0
25536,1300.0
8228,421.0
14079,639.0
30492,525.0
10519,668.0
26927,445.0
41178,703.0
23810,452.0
2939,813.0
16770,325.0
18723,344.0
4759,848.0
25270,337.0
1957,1817.0
7098,646.0
39562,322.0
24677,439.0
18375,356.0
48175,533.0
15540,2232.0
2801,741.0
19590,408.0
9684,684.0
47257,385.0
38028,571.0
14565,307.0
25839,630.0
12358,1242.0
46061,1313.0
11263,357.0
2802,617.0
26554,390.0
36796,462.0
28797,465.0
1663,446.0
42291,323.0
47866,587.0
26494,333.0
4268,482.0
19602,382.0
25353,1366.0
20700,341.0
18498,2434.0
43154,719.0
9745,498.0
5832,578.0
23894,3012.0
48717,486.0
12039,421.0
659,508.0
14610,345.0
26800,695.0
42158,342.0
4860,356.0
46805,1324.0
13086,483.0
8065,455.0
37009,584.0
36754,467.0
17121,641.0
12948,338.0
34426,340.0
31903,384.0
49145,474.0
10680,2691.0
32954,302.0
7806,328.0
8434,495.0
20634,400.0
42231,469.0
31005,394.0
3920,916.0
29717,539.0
14759,310.0
20671,572.0
33259,328.0
21501,507.0
1615,572.0
12013,418.0
11664,577.0
32677,409.0
25945,356.0
21474,435.0
28340,678.0
4931,335.0
27554,320.0
28801,629.0
19765,522.0
3079,504.0
3132,359.0
2146,1221.0
42312,387.0
20833,415.0
19329,340.0
6645,326.0
28446,728.0
26522,541.0
15717,1934.0
13972,976.0
2308,1301.0
5811,339.0
38093,732.0
23660,348.0
28739,696.0
30351,426.0
13484,865.0
14531,431.0
11015,653.0
27195,506.0
11779,355.0
25676,836.0
35712,424.0
32398,317.0
13783,526.0
25533,423.0
42823,1912.0
6767,565.0
46182,304.0
19175,1686.0
5469,427.0
28800,330.0
20527,354.0
15560,458.0
32371,319.0
21761,536.0
32217,306.0
18007,309.0
10043,1708.0
43063,339.0
24139,379.0
42292,361.0
11992,520.0
28304,455.0
4707,363.0
32935,376.0
31145,351.0
46242,1225.0
24993,956.0
12021,540.0
26308,670.0
8078,518.0
48316,472.0
44700,400.0
39763,347.0
14102,432.0
39009,3010.0
37966,1072.0
10541,1175.0
26796,409.0
8506,477.0
21821,1730.0
31758,519.0
48963,437.0
18734,2024.0
7140,481.0
21027,386.0
3080,307.0
20351,323.0
40795,867.0
32606,381.0
31487,451.0
15791,594.0
46994,458.0
42382,1033.0
47336,1558.0
38629,2370.0
33330,484.0
24204,1516.0
25224,3110.0
45815,425.0
49761,315.0
35611,493.0
48436,374.0
41562,438.0
36953,502.0
45862,397.0
1665,484.0
3270,699.0
11017,678.0
1736,389.0
7188,1530.0
38450,334.0
48058,431.0
27366,315.0
7581,321.0
16568,315.0
11574,505.0
27246,348.0
28197,447.0
42577,1057.0
27872,372.0
1278,316.0
6177,517.0
47448,488.0
7735,586.0
15533,602.0
7775,1173.0
45487,355.0
39504,370.0
19658,323.0
17538,362.0
34150,1359.0
48934,367.0
43547,427.0
37456,327.0
20859,1344.0
26380,349.0
9755,442.0
46722,428.0
28763,2707.0
2116,311.0
44468,539.0
31095,711.0
37774,558.0
9234,484.0
15715,363.0
11913,869.0
4837,3003.0
28445,1597.0
29979,558.0
20333,1753.0
13914,386.0
26032,1078.0
46761,727.0
34036,454.0
7915,373.0
20529,486.0
17992,439.0
46417,329.0
34479,836.0
25534,404.0
41241,3000.0
7849,3023.0
48433,482.0
21931,717.0
5738,2497.0
17285,373.0
16165,655.0
49770,339.0
42365,509.0
24874,318.0
23003,395.0
47420,314.0
29638,672.0
8846,785.0
24984,851.0
37175,511.0
6932,422.0
12321,750.0
8918,484.0
40882,343.0
20665,844.0
46159,1697.0
21823,1284.0
42160,379.0
179,1207.0
14960,312.0
47421,375.0
44829,327.0
9681,472.0
46704,1487.0
8165,320.0
22104,735.0
18631,2694.0
38227,325.0
40691,449.0
5078,613.0
12076,486.0
8066,633.0
532,1219.0
36215,378.0
2547,448.0
19749,1241.0
13235,756.0
25264,363.0
32904,555.0
6647,2317.0
34605,374.0
1767,802.0
20860,2162.0
3072,392.0
44372,311.0
45125,393.0
37874,668.0
46158,1731.0
4167,418.0
858,366.0
23227,1188.0
2419,356.0
1782,412.0
30453,1009.0
5046,320.0
7944,662.0
48649,413.0
16087,342.0
21874,684.0
12077,1307.0
9744,702.0
41279,774.0
1109,890.0
39834,470.0
41945,880.0
39526,301.0
7787,395.0
1637,559.0
6602,584.0
33763,3000.0
37103,340.0
10992,1014.0
26967,1294.0
48317,639.0
10465,327.0
9538,846.0
6440,360.0
33670,320.0
11541,629.0
37055,369.0
23475,493.0
50033,824.0
7097,764.0
5299,955.0
16540,330.0
11122,369.0
38589,343.0
6419,553.0
33344,577.0
19090,1922.0
28339,457.0
34199,513.0
35941,635.0
18168,1044.0
6303,631.0
32925,693.0
16494,306.0
22427,381.0
6156,3011.0
36018,915.0
31083,2542.0
22781,474.0
33394,475.0
6527,573.0
13265,1177.0
27201,490.0
21562,450.0
1215,763.0
6424,443.0
15630,716.0
31904,306.0
46336,452.0
31439,565.0
19181,373.0
18632,3035.0
42311,624.0
32906,675.0
45828,396.0
14862,825.0
20239,475.0
21655,700.0
38368,446.0
30470,413.0
46122,1095.0
30853,637.0
32937,344.0
42298,594.0
11055,443.0
27408,536.0
15566,345.0
33645,406.0
17582,347.0
23004,359.0
4745,482.0
16822,1028.0
42450,378.0
17283,508.0
9106,322.0
15444,984.0
2068,598.0
8504,302.0
18695,434.0
22201,672.0
30941,765.0
5905,813.0
16251,320.0
28744,666.0
2375,456.0
27038,3190.0
3326,1166.0
42893,1032.0
22749,484.0
37736,302.0
13450,386.0
45763,440.0
11455,481.0
4706,393.0
21103,577.0
23496,359.0
37205,669.0
23428,1462.0
14822,302.0
6702,624.0
38364,309.0
40113,405.0
547,479.0
11776,2751.0
23420,374.0
12075,474.0
35227,852.0
48569,458.0
7157,314.0
39369,433.0
20516,1044.0
18142,395.0
32921,317.0
30559,443.0
26030,2356.0
37400,537.0
7774,867.0
38187,378.0
6202,475.0
1269,2347.0
37062,354.0
29967,498.0
35233,338.0
8175,564.0
2948,956.0
28885,689.0
38749,430.0
21912,413.0
25242,396.0
26627,565.0
7408,709.0
40796,506.0
29570,512.0
1942,333.0
23897,3008.0
40158,463.0
24775,307.0
29035,551.0
5574,345.0
22638,361.0
31458,564.0
23476,463.0
26579,1290.0
48654,3706.0
23885,635.0
15458,356.0
7986,368.0
34480,580.0
11908,411.0
47710,419.0
11912,889.0
25838,506.0
38092,410.0
21763,507.0
18740,346.0
34135,2036.0
27700,558.0
34703,325.0
7283,611.0
16994,308.0
45945,334.0
17732,617.0
39357,1226.0
27304,337.0
47107,358.0
27953,394.0
23537,457.0
26777,553.0
38321,319.0
34494,462.0
27852,357.0
14269,1263.0
48969,2317.0
18015,619.0
18170,844.0
45912,333.0
43598,505.0
16721,336.0
43912,387.0
42161,355.0
27980,449.0
20880,305.0
32016,1254.0
44659,305.0
25485,550.0
33405,624.0
17020,335.0
49153,427.0
37241,1408.0
33495,360.0
41665,854.0
10725,403.0
9719,303.0
38769,382.0
31324,898.0
47253,375.0
8738,2645.0
21045,479.0
48594,457.0
1679,665.0
11998,638.0
17385,315.0
16585,511.0
42915,353.0
44216,446.0
13806,2893.0
366,395.0
2283,373.0
27874,466.0
21688,1123.0
47868,653.0
49861,679.0
3459,335.0
1110,458.0
42817,442.0
22878,1175.0
42847,370.0
21011,1853.0
23377,312.0
35445,1617.0
26198,326.0
35566,306.0
23232,350.0
39801,563.0
46840,775.0
11827,495.0
10278,3233.0
44912,466.0
19832,410.0
29887,368.0
27193,465.0
26309,509.0
13011,329.0
12683,348.0
33317,751.0
45909,621.0
5018,431.0
47013,721.0
11103,2496.0
5503,886.0
20826,382.0
30847,483.0
38108,931.0
42916,425.0
7853,454.0
14392,364.0
47164,416.0
20143,3017.0
1193,3010.0
37631,466.0
44988,927.0
5729,472.0
19656,540.0
47964,585.0
13971,1216.0
10632,372.0
6088,1538.0
23005,414.0
38917,486.0
28354,683.0
13853,346.0
39373,397.0
6418,444.0
11575,811.0
13264,1173.0
6382,325.0
45623,902.0
5837,388.0
21923,401.0
41527,305.0
40643,600.0
9912,361.0
44158,303.0
20140,1076.0
8851,839.0
40641,1484.0
33870,342.0
41722,970.0
45584,389.0
12322,463.0
7585,347.0
23714,472.0
6319,364.0
4164,3025.0
33146,318.0
6643,388.0
44887,312.0
24032,315.0
11909,430.0
26052,911.0
18329,387.0
22443,497.0
19653,446.0
17132,378.0
15974,413.0
33404,2242.0
26964,813.0
31249,419.0
37636,424.0
25225,3210.0
28496,745.0
13766,402.0
7373,412.0
2727,358.0
32282,510.0
34498,427.0
39629,411.0
10006,360.0
17265,415.0
31728,666.0
35232,397.0
21353,834.0
37802,491.0
26514,541.0
17250,414.0
31804,417.0
39277,348.0
10279,862.0
29593,430.0
12361,419.0
26645,417.0
16906,894.0
41880,686.0
34593,852.0
25537,397.0
25686,353.0
26496,1507.0
43422,346.0
12636,354.0
10314,401.0
2080,436.0
22680,324.0
11201,1355.0
21351,644.0
3154,582.0
5114,733.0
48095,535.0
33826,421.0
13453,1526.0
2951,368.0
39800,462.0
39359,1204.0
9989,519.0
20955,454.0
428,309.0
17737,489.0
28799,494.0
12694,1339.0
44276,607.0
43207,642.0
18845,3013.0
27245,388.0
29036,376.0
1226,322.0
5317,504.0
41900,308.0
30383,508.0
18216,504.0
13087,424.0
20632,616.0
25241,387.0
31438,677.0
35143,528.0
36348,2989.0
31942,430.0
26292,533.0
5546,1135.0
17123,499.0
3046,797.0
7185,3013.0
19445,344.0
38999,321.0
20374,570.0
48719,552.0
6050,501.0
27801,464.0
20375,875.0
31265,451.0
35915,306.0
25877,341.0
46804,910.0
34471,442.0
21026,407.0
21046,485.0
22777,485.0
11955,540.0
14994,577.0
9669,793.0
43138,418.0
38902,3116.0
35158,706.0
42131,457.0
42965,613.0
47989,984.0
14194,3027.0
44904,508.0
16062,1680.0
9104,443.0
3580,2338.0
19108,378.0
42446,507.0
28283,383.0
6867,3046.0
15790,414.0
29264,388.0
32971,560.0
13268,553.0
20141,356.0
19173,1133.0
15483,316.0
45967,577.0
18944,315.0
13089,638.0
6364,1822.0
25766,833.0
45509,1276.0
26294,661.0
37678,371.0
35711,423.0
3111,754.0
5740,1512.0
33022,551.0
8602,537.0
43546,461.0
42845,382.0
15355,369.0
6525,458.0
8842,620.0
23416,493.0
27853,399.0
40446,337.0
34603,362.0
24270,603.0
32397,341.0
9991,414.0
35834,388.0
43256,307.0
15532,653.0
42576,3001.0
2152,313.0
31507,456.0
18780,837.0
26155,569.0
23000,399.0
2539,302.0
5694,357.0
24223,1178.0
26969,475.0
5313,345.0
33522,2233.0
20466,485.0
31711,539.0
10727,579.0
8226,454.0
45953,670.0
44780,877.0
8087,316.0
3422,392.0
40578,383.0
17814,953.0
48950,715.0
10053,322.0
7241,3017.0
41898,327.0
47818,383.0
20352,599.0
44314,2170.0
44326,1316.0
3119,339.0
8364,1321.0
15674,584.0
47922,344.0
1944,341.0
27792,461.0
2297,330.0
8866,553.0
43384,330.0
45087,481.0
8535,947.0
23020,658.0
49450,1391.0
12782,951.0
10699,305.0
3283,386.0
30465,672.0
6535,601.0
10597,484.0
42293,360.0
36360,972.0
40881,537.0
43352,475.0
28007,474.0
24651,356.0
16720,427.0
27987,621.0
3093,730.0
23100,484.0
46231,1036.0
44861,378.0
48120,576.0
11370,777.0
21352,538.0
30938,1287.0
2849,751.0
17158,316.0
18582,302.0
23940,330.0
853,443.0
22109,950.0
46757,453.0
17996,377.0
16907,774.0
27713,3014.0
9685,459.0
26556,577.0
4078,374.0
43515,517.0
13913,655.0
1423,557.0
32666,331.0
29792,349.0
48631,1192.0
7030,1007.0
27748,1345.0
17789,911.0
15641,506.0
8567,520.0
2736,884.0
33940,326.0
5997,365.0
6898,512.0
29567,353.0
26730,589.0
16230,361.0
6270,628.0
15103,469.0
12351,529.0
967,861.0
48674,323.0
21741,421.0
3975,1505.0
32923,352.0
29888,549.0
42968,448.0
48187,491.0
725,992.0
37301,2082.0
5559,1729.0
37630,381.0
27037,940.0
21740,361.0
32360,957.0
28383,850.0
16654,606.0
10436,549.0
6658,355.0
40757,553.0
891,583.0
18116,338.0
26772,600.0
26602,483.0
40447,386.0
8843,739.0
43149,576.0
2298,613.0
29594,359.0
5659,366.0
7448,897.0
16321,562.0
48056,376.0
43289,349.0
20515,535.0
3659,313.0
10935,388.0
1421,586.0
39810,504.0
43909,387.0
14335,508.0
5393,721.0
10652,772.0
25705,352.0
13505,406.0
226,313.0
20180,1161.0
6831,330.0
41199,453.0
16750,500.0
38004,1553.0
34495,456.0
26051,823.0
39914,748.0
23685,2360.0
24672,558.0
39720,366.0
26463,1682.0
45146,386.0
29163,3009.0
7911,301.0
315,330.0
1513,432.0
43553,352.0
47963,652.0
10897,470.0
38557,331.0
12255,860.0
23622,315.0
37409,1416.0
30374,401.0
26877,1630.0
16223,520.0
13448,756.0
23844,368.0
37482,350.0
31982,1064.0
33677,854.0
14639,678.0
40746,450.0
13731,316.0
10724,517.0
48634,534.0
21551,838.0
31011,336.0
2889,533.0
34393,325.0
33043,897.0
23417,576.0
21553,997.0
36949,520.0
43667,1561.0
16652,760.0
10768,397.0
17204,668.0
41633,991.0
42580,3107.0
41943,685.0
2735,618.0
12254,669.0
37995,1925.0
450,315.0
2737,443.0
6368,309.0
33466,336.0
22197,370.0
35447,1726.0
9792,480.0
32013,737.0
8555,340.0
10735,578.0
34368,422.0
1133,406.0
13124,385.0
34496,364.0
32283,1972.0
17816,662.0
25201,337.0
34851,377.0
22595,416.0
8894,591.0
32144,353.0
48947,1239.0
6703,843.0
7284,623.0
13070,336.0
6705,631.0
25655,549.0
7090,466.0
41925,427.0
37961,316.0
8255,643.0
37817,1145.0
28009,778.0
18890,330.0
34424,301.0
40673,489.0
27202,576.0
22679,513.0
2784,395.0
27036,470.0
7770,318.0
45816,729.0
43179,316.0
29254,1276.0
34133,2820.0
31563,535.0
40595,804.0
32972,341.0
37762,315.0
5516,327.0
35825,534.0
47502,1984.0
2828,392.0
2093,746.0
25637,354.0
33327,309.0
8860,419.0
19937,304.0
44987,684.0
43135,413.0
45585,437.0
45470,650.0
15460,423.0
41610,370.0
17150,347.0
31489,424.0
20823,528.0
16044,712.0
1717,522.0
6766,312.0
15696,835.0
17776,546.0
47333,550.0
14059,341.0
31945,367.0
11494,542.0
35944,375.0
34201,361.0
13117,310.0
14725,387.0
45890,400.0
5395,577.0
38603,481.0
1105,466.0
26874,415.0
13020,1629.0
44053,2957.0
30914,956.0
18324,503.0
41635,1035.0
20211,344.0
43863,372.0
39916,685.0
4788,375.0
20673,335.0
22130,407.0
22975,647.0
29709,475.0
41773,315.0
23640,514.0
40451,514.0
2855,4000.0
28305,568.0
7773,313.0
21822,1105.0
47254,413.0
15558,387.0
24997,494.0
46893,1039.0
16855,309.0
6275,361.0
24628,355.0
634,1497.0
37206,321.0
10483,308.0
39178,359.0
9317,315.0
42232,625.0
35471,844.0
47503,310.0
15381,665.0
40895,442.0
5581,323.0
45993,335.0
44390,1936.0
17926,513.0
21132,795.0
9683,344.0
31712,672.0
49146,866.0
10898,431.0
5314,414.0
26987,620.0
46613,555.0
6441,998.0
4757,987.0
29643,467.0
22131,700.0
31098,435.0
46416,455.0
23771,1147.0
1022,418.0
15036,396.0
28704,518.0
9746,470.0
6837,367.0
7346,863.0
24915,324.0
43657,1037.0
37620,315.0
33045,1282.0
25898,330.0
28682,2783.0
46414,411.0
7433,3786.0
45499,3000.0
45488,453.0
47920,425.0
47330,370.0
10726,554.0
46479,2128.0
15061,2267.0
25611,335.0
969,1379.0
12357,467.0
45980,489.0
17917,419.0
46404,424.0
26046,373.0
12684,572.0
3423,525.0
48101,1105.0
34132,2272.0
34604,406.0
11656,307.0
32884,398.0
19171,309.0
29644,350.0
9180,398.0
2291,492.0
46288,514.0
42831,376.0
47234,560.0
6057,1804.0
1486,444.0
41631,484.0
20514,639.0
42625,333.0
20810,333.0
30598,397.0
39775,303.0
24221,1262.0
5275,498.0
22634,634.0
34625,464.0
26603,408.0
40886,334.0
14660,383.0
2946,1039.0
15068,699.0
2200,363.0
11918,343.0
30582,387.0
31267,513.0
1843,586.0
32524,319.0
31519,729.0
21948,434.0
12928,338.0
49893,705.0
10088,390.0
3518,374.0
35609,504.0
30757,922.0
5570,476.0
849,319.0
17395,444.0
12789,466.0
27208,809.0
47232,502.0
26580,931.0
8906,745.0
46273,499.0
5600,422.0
7760,475.0
13784,658.0
32166,537.0
36625,758.0
35901,395.0
2293,537.0
5737,305.0
33930,419.0
12161,646.0
45251,415.0
31559,771.0
14144,354.0
21689,644.0
22978,385.0
10295,326.0
43064,656.0
26985,366.0
14791,525.0
2007,761.0
44055,3007.0
19172,1102.0
37096,771.0
8609,697.0
46387,3002.0
21029,446.0
1027,411.0
1617,599.0
27742,341.0
10640,355.0
22429,416.0
1999,982.0
40534,328.0
27636,387.0
12175,617.0
27210,982.0
3461,387.0
27663,1080.0
34149,1056.0
49154,461.0
49089,1609.0
13558,331.0
40662,943.0
10259,323.0
38303,363.0
5620,349.0
28798,411.0
30852,2160.0
47942,316.0
9670,453.0
13164,408.0
28008,654.0
44803,301.0
23551,2262.0
15482,621.0
32927,467.0
31266,380.0
32274,377.0
23135,345.0
11917,345.0
31494,322.0
24363,330.0
37300,2402.0
24904,365.0
31469,396.0
46539,3038.0
21009,3032.0
13854,400.0
9568,305.0
2685,392.0
42045,326.0
1616,1558.0
31961,727.0
19538,432.0
38114,734.0
22959,330.0
13062,354.0
45124,422.0
36755,625.0
37528,492.0
5045,359.0
451,407.0
1147,404.0
25613,2301.0
49464,372.0
44718,348.0
42925,3052.0
25471,386.0
551,505.0
26578,1259.0
7243,2243.0
4554,310.0
37455,837.0
41907,302.0
12820,3013.0
22129,437.0
8614,1338.0
21762,592.0
45910,574.0
40640,1273.0
34541,433.0
31680,483.0
10042,855.0
22296,3834.0
15315,1014.0
21961,392.0
6268,791.0
30939,1500.0
27751,844.0
29236,1622.0
6155,3004.0
10280,1123.0
14061,391.0
18169,704.0
6302,379.0
23228,1340.0
36162,305.0
20954,445.0
6184,1065.0
17372,3199.0
45212,391.0
33282,574.0
588,820.0
27798,309.0
148,315.0
9717,394.0
13565,1899.0
29360,302.0
5256,306.0
28892,3020.0
47342,338.0
27148,301.0
5975,419.0
22830,442.0
15786,919.0
18630,2963.0
37164,699.0
11147,408.0
10420,880.0
48653,681.0
31012,388.0
11923,313.0
7272,750.0
48254,454.0
31093,621.0
30617,2406.0
21456,521.0
43922,2700.0
23267,308.0
41389,379.0
12927,334.0
8366,647.0
42918,412.0
36347,2026.0
25674,919.0
30242,3247.0
44935,327.0
18764,483.0
47889,368.0
41965,302.0
16114,329.0
28648,2632.0
18172,425.0
46703,407.0
17672,565.0
7547,388.0
47909,1091.0
35921,301.0
34074,2041.0
15353,459.0
37527,717.0
25117,317.0
22319,323.0
2748,2059.0
20265,375.0
44350,370.0
9295,1698.0
20939,719.0
39587,352.0
46286,352.0
37621,340.0
37509,1905.0
46909,556.0
22880,1736.0
38452,381.0
17485,331.0
31562,1369.0
40414,2260.0
17963,1331.0
45246,798.0
16064,1081.0
36727,482.0
47936,324.0
38002,1069.0
40847,2091.0
28501,1640.0
6694,446.0
26915,1067.0
3805,1581.0
10995,342.0
40185,639.0
35536,526.0
49835,757.0
23548,1408.0
17430,330.0
11793,357.0
39448,528.0
3280,1490.0
23795,2882.0
43983,309.0
7248,397.0
17254,327.0
20940,674.0
4746,644.0
8229,510.0
19503,449.0
29793,328.0
12790,354.0
35782,559.0
20452,459.0
4762,609.0
41663,422.0
42923,3025.0
21025,341.0
46806,751.0
30851,1555.0
16536,594.0
22726,582.0
36196,1356.0
40226,484.0
17634,437.0
23540,681.0
16624,1286.0
27018,455.0
34163,305.0
29973,923.0
48212,361.0
3839,484.0
30491,344.0
28004,2557.0
31202,348.0
37334,586.0
11199,859.0
42407,413.0
2015,389.0
45489,319.0
45889,658.0
14992,405.0
17984,588.0
243,309.0
11997,780.0
29969,1217.0
3980,517.0
8312,488.0
7719,333.0
8001,398.0
47438,669.0
10169,392.0
38172,3002.0
2947,1183.0
5501,508.0
16653,887.0
46851,738.0
46823,390.0
9697,450.0
2824,752.0
22861,394.0
42819,388.0
1273,636.0
22676,464.0
34425,324.0
2906,500.0
506,442.0
36385,330.0
19591,453.0
15206,493.0
9238,2914.0
32905,452.0
49244,516.0
28493,608.0
31886,321.0
792,706.0
24127,3013.0
40687,707.0
37622,315.0
4166,2843.0
35958,304.0
18427,363.0
15445,1037.0
43557,2440.0
31122,494.0
49358,2313.0
1953,396.0
587,1477.0
33328,348.0
22224,457.0
47335,3025.0
4724,355.0
4168,545.0
12453,336.0
36733,318.0
37483,610.0
23046,491.0
15067,1199.0
26245,488.0
33635,2997.0
28740,1057.0
35653,313.0
30467,308.0
39407,421.0
14532,304.0
1021,1031.0
5996,335.0
28753,407.0
46611,389.0
27442,590.0
35629,679.0
34070,529.0
39075,404.0
3823,3011.0
18217,522.0
26174,515.0
3045,787.0
4929,366.0
30027,589.0
20907,306.0
20192,3228.0
37162,782.0
21091,2522.0
17134,378.0
45746,419.0
41753,315.0
48951,428.0
12693,2007.0
38367,1043.0
9294,1604.0
180,1056.0
27122,642.0
36842,423.0
2299,615.0
35537,466.0
34566,398.0
22635,387.0
1727,504.0
18732,2905.0
48100,1587.0
15716,594.0
8313,478.0
41174,1224.0
553,460.0
40448,721.0
1517,384.0
30202,307.0
27677,493.0
13078,2911.0
13482,374.0
27209,1237.0
30249,311.0
1276,319.0
45740,473.0
43136,485.0
35713,430.0
6646,347.0
21092,2016.0
25463,427.0
30651,343.0
3566,357.0
31757,876.0
49834,457.0
23021,1796.0
27430,442.0
29,471.0
46429,390.0
2520,323.0
19182,497.0
1680,614.0
28338,740.0
11860,519.0
5763,321.0
3640,329.0
43504,700.0
31518,670.0
24620,362.0
47543,371.0
24430,313.0
38139,312.0
42162,542.0
1412,527.0
13804,2895.0
3279,1252.0
29645,463.0
9754,451.0
22317,349.0
47447,338.0
37058,1845.0
23656,418.0
10419,1190.0
39825,468.0
29290,1681.0
20603,2051.0
38569,1050.0
26497,1546.0
32982,875.0
2854,456.0
10082,346.0
7872,344.0
1126,829.0
45248,841.0
48652,555.0
41327,1217.0
49847,474.0
3426,442.0
26998,581.0
8307,385.0
32769,1157.0
14434,460.0
8836,1060.0
37635,415.0
8739,2547.0
22690,1025.0
44565,355.0
26299,511.0
43381,1248.0
37954,313.0
48961,319.0
31526,808.0
26355,511.0
31440,790.0
8108,401.0
9990,480.0
13552,392.0
48806,320.0
35421,3093.0
32361,3119.0
1784,869.0
31232,301.0
39069,339.0
19514,602.0
1130,458.0
5486,602.0
6533,603.0
47832,368.0
18606,456.0
42180,628.0
38109,673.0
16650,806.0
19110,324.0
15986,358.0
28419,572.0
47332,750.0
30696,447.0
42235,1555.0
41944,736.0
15694,362.0
37098,923.0
49699,821.0
33678,745.0
15751,315.0
17264,366.0
32678,1103.0
48544,521.0
10737,371.0
28752,407.0
22875,1301.0
33827,499.0
189,335.0
11310,340.0
43582,513.0
1357,3186.0
43944,3075.0
2498,969.0
12300,406.0
14195,418.0
49355,619.0
32098,464.0
3707,2717.0
31092,605.0
29845,763.0
23961,368.0
23486,3003.0
544,430.0
